branch,lines,interruption_pct,interruption_type,trial,recovery_ms
wal,1000,10,stop,1,28.087
wal,1000,10,stop,2,9.666
wal,1000,10,stop,3,28.474
wal,1000,10,stop,4,12.224
wal,1000,10,stop,5,21.178
wal,1000,10,stop,6,6.375
wal,1000,10,stop,7,29.079
wal,1000,10,stop,8,11.664
wal,1000,10,stop,9,23.765
wal,1000,10,stop,10,8.364
nowal,1000,10,stop,1,9.664
nowal,1000,10,stop,2,11.773
nowal,1000,10,stop,3,5.413
nowal,1000,10,stop,4,24.398
nowal,1000,10,stop,5,11.688
nowal,1000,10,stop,6,11.547
nowal,1000,10,stop,7,10.781
nowal,1000,10,stop,8,10.685
nowal,1000,10,stop,9,27.119
nowal,1000,10,stop,10,9.146
wal,1000,10,kill,1,13.580
wal,1000,10,kill,2,15.819
wal,1000,10,kill,3,22.711
wal,1000,10,kill,4,15.854
wal,1000,10,kill,5,13.409
wal,1000,10,kill,6,15.988
wal,1000,10,kill,7,29.751
wal,1000,10,kill,8,14.580
wal,1000,10,kill,9,8.422
wal,1000,10,kill,10,16.516
nowal,1000,10,kill,1,13.675
nowal,1000,10,kill,2,13.762
nowal,1000,10,kill,3,15.895
nowal,1000,10,kill,4,28.906
nowal,1000,10,kill,5,29.746
nowal,1000,10,kill,6,30.609
nowal,1000,10,kill,7,10.720
nowal,1000,10,kill,8,10.114
nowal,1000,10,kill,9,30.010
nowal,1000,10,kill,10,15.096
wal,1000,50,stop,1,24.424
wal,1000,50,stop,2,16.803
wal,1000,50,stop,3,22.822
wal,1000,50,stop,4,27.556
wal,1000,50,stop,5,16.185
wal,1000,50,stop,6,25.832
wal,1000,50,stop,7,25.406
wal,1000,50,stop,8,15.086
wal,1000,50,stop,9,25.452
wal,1000,50,stop,10,15.289
nowal,1000,50,stop,1,24.721
nowal,1000,50,stop,2,19.941
nowal,1000,50,stop,3,57.403
nowal,1000,50,stop,4,21.632
nowal,1000,50,stop,5,19.782
nowal,1000,50,stop,6,24.372
nowal,1000,50,stop,7,16.429
nowal,1000,50,stop,8,23.699
nowal,1000,50,stop,9,22.624
nowal,1000,50,stop,10,26.468
wal,1000,50,kill,1,37.170
wal,1000,50,kill,2,28.088
wal,1000,50,kill,3,30.651
wal,1000,50,kill,4,30.091
wal,1000,50,kill,5,28.325
wal,1000,50,kill,6,27.459
wal,1000,50,kill,7,28.822
wal,1000,50,kill,8,28.084
wal,1000,50,kill,9,29.030
wal,1000,50,kill,10,28.608
nowal,1000,50,kill,1,29.030
nowal,1000,50,kill,2,30.265
nowal,1000,50,kill,3,31.313
nowal,1000,50,kill,4,18.976
nowal,1000,50,kill,5,28.176
nowal,1000,50,kill,6,13.218
nowal,1000,50,kill,7,27.353
nowal,1000,50,kill,8,29.510
nowal,1000,50,kill,9,27.978
nowal,1000,50,kill,10,29.532
wal,1000,100,stop,1,24.189
wal,1000,100,stop,2,22.905
wal,1000,100,stop,3,23.442
wal,1000,100,stop,4,24.380
wal,1000,100,stop,5,23.338
wal,1000,100,stop,6,25.510
wal,1000,100,stop,7,21.607
wal,1000,100,stop,8,24.886
wal,1000,100,stop,9,25.533
wal,1000,100,stop,10,22.806
nowal,1000,100,stop,1,23.485
nowal,1000,100,stop,2,42.335
nowal,1000,100,stop,3,12.220
nowal,1000,100,stop,4,21.454
nowal,1000,100,stop,5,21.981
nowal,1000,100,stop,6,25.227
nowal,1000,100,stop,7,25.759
nowal,1000,100,stop,8,20.174
nowal,1000,100,stop,9,25.209
nowal,1000,100,stop,10,11.082
wal,1000,100,kill,1,25.299
wal,1000,100,kill,2,16.241
wal,1000,100,kill,3,33.005
wal,1000,100,kill,4,29.566
wal,1000,100,kill,5,26.521
wal,1000,100,kill,6,26.368
wal,1000,100,kill,7,29.393
wal,1000,100,kill,8,30.266
wal,1000,100,kill,9,15.851
wal,1000,100,kill,10,30.521
nowal,1000,100,kill,1,29.906
nowal,1000,100,kill,2,29.062
nowal,1000,100,kill,3,21.501
nowal,1000,100,kill,4,57.090
nowal,1000,100,kill,5,27.899
nowal,1000,100,kill,6,24.841
nowal,1000,100,kill,7,28.772
nowal,1000,100,kill,8,22.575
nowal,1000,100,kill,9,29.119
nowal,1000,100,kill,10,28.926
wal,10000,10,stop,1,22.191
wal,10000,10,stop,2,22.458
wal,10000,10,stop,3,22.477
wal,10000,10,stop,4,24.834
wal,10000,10,stop,5,25.548
wal,10000,10,stop,6,13.708
wal,10000,10,stop,7,23.814
wal,10000,10,stop,8,14.524
wal,10000,10,stop,9,25.822
wal,10000,10,stop,10,45.569
nowal,10000,10,stop,1,21.382
nowal,10000,10,stop,2,25.157
nowal,10000,10,stop,3,23.451
nowal,10000,10,stop,4,20.828
nowal,10000,10,stop,5,17.271
nowal,10000,10,stop,6,23.222
nowal,10000,10,stop,7,21.065
nowal,10000,10,stop,8,25.527
nowal,10000,10,stop,9,22.354
nowal,10000,10,stop,10,23.693
wal,10000,10,kill,1,26.942
wal,10000,10,kill,2,29.906
wal,10000,10,kill,3,26.666
wal,10000,10,kill,4,30.446
wal,10000,10,kill,5,55.475
wal,10000,10,kill,6,24.008
wal,10000,10,kill,7,28.442
wal,10000,10,kill,8,39.879
wal,10000,10,kill,9,35.992
wal,10000,10,kill,10,31.814
nowal,10000,10,kill,1,27.381
nowal,10000,10,kill,2,11.874
nowal,10000,10,kill,3,34.352
nowal,10000,10,kill,4,12.878
nowal,10000,10,kill,5,29.468
nowal,10000,10,kill,6,29.646
nowal,10000,10,kill,7,12.209
nowal,10000,10,kill,8,29.526
nowal,10000,10,kill,9,25.360
nowal,10000,10,kill,10,29.442
wal,10000,50,stop,1,11.237
wal,10000,50,stop,2,28.455
wal,10000,50,stop,3,30.554
wal,10000,50,stop,4,29.870
wal,10000,50,stop,5,31.151
wal,10000,50,stop,6,31.300
wal,10000,50,stop,7,29.689
wal,10000,50,stop,8,19.551
wal,10000,50,stop,9,14.901
wal,10000,50,stop,10,28.254
nowal,10000,50,stop,1,22.957
nowal,10000,50,stop,2,29.765
nowal,10000,50,stop,3,33.680
nowal,10000,50,stop,4,31.092
nowal,10000,50,stop,5,32.467
nowal,10000,50,stop,6,30.249
nowal,10000,50,stop,7,28.569
nowal,10000,50,stop,8,29.551
nowal,10000,50,stop,9,21.643
nowal,10000,50,stop,10,31.180
wal,10000,50,kill,1,44.742
wal,10000,50,kill,2,37.266
wal,10000,50,kill,3,42.435
wal,10000,50,kill,4,36.471
wal,10000,50,kill,5,37.302
wal,10000,50,kill,6,37.585
wal,10000,50,kill,7,32.890
wal,10000,50,kill,8,37.623
wal,10000,50,kill,9,39.360
wal,10000,50,kill,10,38.362
nowal,10000,50,kill,1,39.235
nowal,10000,50,kill,2,38.414
nowal,10000,50,kill,3,41.235
nowal,10000,50,kill,4,21.026
nowal,10000,50,kill,5,37.198
nowal,10000,50,kill,6,42.572
nowal,10000,50,kill,7,45.439
nowal,10000,50,kill,8,50.596
nowal,10000,50,kill,9,38.593
nowal,10000,50,kill,10,39.177
wal,10000,100,stop,1,25.436
wal,10000,100,stop,2,23.723
wal,10000,100,stop,3,25.771
wal,10000,100,stop,4,23.754
wal,10000,100,stop,5,25.532
wal,10000,100,stop,6,37.959
wal,10000,100,stop,7,25.892
wal,10000,100,stop,8,25.701
wal,10000,100,stop,9,26.274
wal,10000,100,stop,10,24.709
nowal,10000,100,stop,1,50.426
nowal,10000,100,stop,2,45.365
nowal,10000,100,stop,3,47.570
nowal,10000,100,stop,4,45.969
nowal,10000,100,stop,5,35.675
nowal,10000,100,stop,6,50.704
nowal,10000,100,stop,7,38.343
nowal,10000,100,stop,8,31.557
nowal,10000,100,stop,9,43.620
nowal,10000,100,stop,10,36.667
wal,10000,100,kill,1,50.263
wal,10000,100,kill,2,49.002
wal,10000,100,kill,3,44.321
wal,10000,100,kill,4,47.495
wal,10000,100,kill,5,50.053
wal,10000,100,kill,6,41.363
wal,10000,100,kill,7,50.300
wal,10000,100,kill,8,49.470
wal,10000,100,kill,9,33.881
wal,10000,100,kill,10,49.295
nowal,10000,100,kill,1,58.718
nowal,10000,100,kill,2,56.970
nowal,10000,100,kill,3,56.478
nowal,10000,100,kill,4,46.083
nowal,10000,100,kill,5,58.073
nowal,10000,100,kill,6,56.928
nowal,10000,100,kill,7,58.756
nowal,10000,100,kill,8,55.121
nowal,10000,100,kill,9,44.628
nowal,10000,100,kill,10,56.366
wal,100000,10,stop,1,38.297
wal,100000,10,stop,2,20.458
wal,100000,10,stop,3,25.625
wal,100000,10,stop,4,24.659
wal,100000,10,stop,5,26.055
wal,100000,10,stop,6,24.198
wal,100000,10,stop,7,23.504
wal,100000,10,stop,8,25.434
wal,100000,10,stop,9,24.513
wal,100000,10,stop,10,25.254
nowal,100000,10,stop,1,44.985
nowal,100000,10,stop,2,36.557
nowal,100000,10,stop,3,45.839
nowal,100000,10,stop,4,50.825
nowal,100000,10,stop,5,45.850
nowal,100000,10,stop,6,49.821
